2	CD	QTY
tsp	NN	UNIT
powdered	VBD	NAME
gelatine	NN	NAME

500	CD	QTY
ml	JJ	UNIT
semi-skimmed	JJ	COM
milk	NN	NAME

2	CD	QTY
tbsp	JJ	UNIT
caster	NN	NAME
sugar	NN	NAME

1	CD	QTY
tsp	JJ	UNIT
pure	NN	COM
almond	NN	NAME
extract	NN	NAME

mixed	NNP	COM
fruit	NN	NAME
cut	NN	COM
neatly	RB	COM

3	CD	QTY
oranges	NNS	NAME

3	CD	QTY
tbsp	JJ	UNIT
caster	NN	NAME
sugar	NN	NAME

2	CD	QTY
cardamom	NN	NAME
pods	NNS	UNIT
very	RB	COM
lightly	RB	COM
crushed	VBN	COM

1	CD	QTY
tbsp	NN	UNIT
lemon	NN	NAME
juice	NN	NAME

1	CD	QTY
tbsp	JJ	UNIT
orange-flower	JJ	NAME
water	NN	NAME
or	CC	COM
more	JJR	COM
to	TO	COM
taste	VB	COM

2	CD	QTY
bananas	NNS	NAME

½	NN	QTY
pomegranate	NN	NAME

50g	CD	QTY
nyoze	NN	NAME
(	(	COM
pine	JJ	COM
nuts	NNS	COM
)	)	COM

1	CD	QTY
tbsp	JJ	UNIT
olive	JJ	NAME
oil	NN	NAME

1	CD	QTY
baby	NN	NAME
onion	NN	NAME
,	,	COM
finely	RB	COM
chopped	VBD	COM

1	CD	QTY
garlic	JJ	NAME
clove	NN	UNIT
,	,	COM
crushed	VBD	COM

15g	CD	QTY
unsalted	JJ	NAME
butter	NN	NAME

350g	CD	QTY
mushrooms	NNS	NAME
,	,	COM
thickly	RB	COM
sliced	VBD	COM

100g	CD	QTY
mixed	JJ	COM
exotic	JJ	COM
mushrooms	NNS	NAME
,	,	COM
thickly	RB	COM
sliced	VBD	COM
,	,	COM
optional	JJ	COM

2	CD	QTY
tsp	JJ	UNIT
balsamic	JJ	NAME
vinegar	NN	NAME

1	CD	QTY
tsp	NN	UNIT
chopped	VBD	COM
fresh	JJ	NAME
thyme	NN	NAME

6	CD	QTY
eggs	NNS	NAME

2	CD	QTY
tablespoons	NNS	UNIT
mayonnaise	NN	NAME

1	CD	QTY
teaspoon	NN	UNIT
dijon	NNP	NAME
mustard	NN	NAME
,	,	COM
ordinary	JJ	COM
mustard	NN	COM
can	MD	COM
be	VB	COM
used	VBN	COM

1/2	CD	QTY
teaspoon	NN	UNIT
salt	NN	NAME

1/4	CD	QTY
teaspoon	NN	UNIT
ground	NN	COM
black	JJ	NAME
pepper	NN	NAME

1/4	CD	QTY
teaspoon	NN	UNIT
cayenne	NNP	NAME
poweder	NN	NAME
,	,	COM
kashmiri	NNP	COM
degi	VBZ	COM
mirch	NN	COM
or	CC	COM
similar	JJ	COM
mild	NNS	COM
chilly	RB	COM

1	CD	QTY
3/4	CD	QTY
litres	NNS	UNIT
water	NN	NAME

600g	CD	QTY
sooji	NN	NAME
or	CC	COM
sabudana	VB	COM
flour	NN	COM

250g	CD	QTY
whole	JJ	NAME
wheat	NN	NAME
flour	NN	NAME

4	CD	QTY
tablespoons	NNS	UNIT
chana	VBP	NAME
flour	NN	NAME
(	(	COM
gram	VB	COM
flour	NN	COM
)	)	COM

1/2	CD	QTY
tsp	NN	UNIT
chilly	RB	NAME
powder	VB	NAME

1	CD	QTY
tsp	NN	UNIT
salt	NN	NAME

1	CD	QTY
tsp	JJ	UNIT
fennel	NN	NAME
seeds	NNS	NAME
,	,	COM
coarsely	RB	COM
ground	NN	COM

1/2	CD	QTY
tsp	JJ	UNIT
cumin	NN	NAME
seeds	NNS	NAME

2	CD	QTY
tbsp	NN	UNIT
vegetable	JJ	NAME
oil	NN	NAME

pinch	NN	UNIT
of	IN	COM
soda	NN	NAME
bicarb	NN	NAME
,	,	COM
optional	JJ	COM

100g	CD	QTY
250g	CD	QTY
whole	JJ	NAME
wheat	NN	NAME
flour	NN	NAME

4	CD	QTY
tablespoons	NNS	UNIT
chana	VBP	NAME
flour	NN	NAME
250g	CD	COM
whole	JJ	COM
wheat	NN	COM
flour	NN	COM

4	CD	QTY
tablespoons	NNS	UNIT
chana	VBP	NAME
flour	NN	NAME
(	(	COM
gram	VB	COM
flour	NN	COM
)	)	COM

1/2	CD	QTY
tsp	NN	UNIT
chilly	RB	NAME
powder	VB	NAME

1	CD	QTY
tsp	NN	UNIT
salt	NN	NAME

1	CD	QTY
tsp	JJ	UNIT
fennel	NN	NAME
seeds	NNS	NAME
,	,	COM
coarsely	RB	COM
ground	NN	COM

1/2	CD	QTY
tsp	JJ	UNIT
cumin	NN	NAME
seeds	NNS	NAME

2	CD	QTY
tbsp	NN	UNIT
vegetable	JJ	NAME
oil	NN	NAME

pinch	NN	UNIT
of	IN	COM
soda	NN	NAME
bicarb	NN	NAME
,	,	COM
optional	JJ	COM

100g	CD	QTY
finely	RB	COM
chopped	VBN	COM
fresh	JJ	COM
spinach	NN	NAME

60ml	CD	QTY
vegetable	JJ	NAME
oil	NN	NAME
for	IN	COM
frying	NN	COM

2	CD	QTY
tablespoons	NNS	UNIT
vegetable	JJ	NAME
oil	NN	NAME

350g	CD	QTY
long	JJ	NAME
grain	NN	NAME
rice	NN	NAME

225g	CD	QTY
tomato	NN	NAME
paste	NN	NAME

1	CD	QTY
teaspoon	NN	UNIT
minced	VBD	COM
garlic	JJ	NAME

1/4	CD	QTY
teaspoon	NN	UNIT
salt	NN	NAME

1	CD	QTY
teaspoon	NN	UNIT
freshly	RB	COM
ground	JJ	COM
black	JJ	NAME
pepper	NN	NAME

1	CD	QTY
teaspoon	NN	UNIT
ground	NN	COM
cumin	NN	NAME

950ml	CD	QTY
water	NN	NAME

180ml	CD	QTY
ghee	NN	NAME

185g	CD	QTY
besan	NN	NAME

35g	CD	QTY
desiccated	VBN	NAME
coconut	NN	NAME
(	(	COM
optional	JJ	COM
)	)	COM

3	CD	QTY
tablespoons	NNS	UNIT
ground	NN	COM
almonds	NNS	NAME

100g	CD	QTY
caster	NN	NAME
sugar	NN	NAME

1/2	CD	QTY
teaspoon	NN	UNIT
ground	NN	COM
cardamom	NN	NAME

1	CD	QTY
g	JJ	UNIT
saffron	NN	NAME
threads	NNS	COM

1	CD	QTY
pinch	JJ	UNIT
saffron	NN	NAME
threads	NNS	COM

355	CD	QTY
ml	NNS	UNIT
hot	JJ	COM
milk	NN	NAME

350ml	CD	QTY
hot	JJ	COM
milk	NN	NAME

180	CD	QTY
ml	NN	UNIT
vegetable	JJ	NAME
oil	NN	NAME

175ml	CD	QTY
vegetable	JJ	NAME
oil	NN	NAME

210	CD	QTY
g	JJ	UNIT
fine	JJ	COM
sooji	NN	NAME
(	(	COM
semolina	NN	COM
)	)	COM

200g	CD	QTY
fine	JJ	COM
semolina	NN	NAME

110	CD	QTY
g	NN	UNIT
banana	NN	NAME
(	(	COM
optional	JJ	COM
)	)	COM

100g	CD	QTY
banana	NN	NAME
(	(	COM
optional	JJ	COM
)	)	COM

250	CD	QTY
g	JJ	UNIT
white	JJ	COM
sugar	NN	NAME

250g	CD	QTY
caster	NN	NAME
sugar	NN	NAME

120	CD	QTY
ml	NN	UNIT
ghee	NN	NAME

125ml	CD	QTY
ghee	NN	NAME
(	(	COM
clarified	JJ	COM
butter	NN	COM
)	)	COM

120	CD	QTY
ml	JJ	UNIT
cashews	NNS	NAME

100g	CD	QTY
cashew	NN	NAME
pieces	NNS	UNIT

70	CD	QTY
g	NN	UNIT
raisins	NNS	NAME

75g	CD	QTY
sultanas	NNS	NAME

2	CD	QTY
tablespoons	NNS	UNIT
olive	JJ	NAME
oil	NN	NAME

1	CD	QTY
large	JJ	UNIT
onion	NN	NAME
,	,	COM
cleaned	VBN	COM
and	CC	COM
thinly	RB	COM
sliced	VBD	COM

2	CD	QTY
cloves	NNS	UNIT
garlic	JJ	NAME
,	,	COM
minced	VBD	COM

230g	CD	QTY
arborio	NNP	NAME
rice	NN	NAME

500ml	CD	QTY
chicken	JJ	NAME
stock	NN	NAME
,	,	COM
divided	VBD	COM

250ml	CD	QTY
dry	JJ	NAME
white	JJ	NAME
wine	NN	NAME
,	,	COM
optional	JJ	COM

250g	CD	QTY
scallops	NNS	NAME

250g	CD	QTY
medium	NN	UNIT
prawns	NNS	NAME
,	,	COM
peeled	VBD	COM
and	CC	COM
deveined	VBD	COM

60g	CD	QTY
fresh	JJ	COM
sweet	JJ	NAME
peas	NNS	NAME
,	,	COM
trimmed	VBN	COM
and	CC	COM
halved	VBN	COM
crossways	NNS	COM

1	CD	QTY
medium	NN	UNIT
red	JJ	NAME
pepper	NN	NAME
,	,	COM
diced	VBD	COM

3	CD	QTY
tablespoons	NNS	UNIT
grated	VBD	COM
parmesan	NNP	NAME
cheese	NN	NAME

2	CD	QTY
teaspoons	NNS	UNIT
dried	VBD	COM
basil	NN	NAME

2	CD	QTY
tablespoons	NNS	UNIT
lemon	JJ	NAME
juice	NN	NAME

ground	NN	COM
black	JJ	NAME
pepper	NN	NAME
to	TO	COM
taste	VB	COM

1	CD	QTY
egg	NN	NAME
white	JJ	NAME

100g	CD	QTY
dark	JJ	COM
brown	JJ	COM
soft	JJ	COM
sugar	NN	NAME

2	CD	QTY
tablespoons	NNS	UNIT
ground	NN	COM
cinnamon	NN	NAME

1	CD	QTY
teaspoon	NN	UNIT
ground	NN	COM
cloves	NNS	NAME

1	CD	QTY
teaspoon	NN	UNIT
ground	NN	COM
ginger	NN	NAME

1	CD	QTY
tablespoon	NN	UNIT
vanilla	NN	NAME
extract	NN	NAME

500g	CD	QTY
walnut	NN	NAME
halves	NNS	UNIT

3	CD	QTY
brinjals	NNS	NAME
,	,	COM
about	RB	COM
675	CD	COM
g	NNS	COM
in	IN	COM
total	JJ	COM

2	CD	QTY
large	JJ	UNIT
garlic	JJ	NAME
cloves	NNS	UNIT

30	CD	QTY
g	NN	UNIT
ground	NN	COM
almonds	NNS	NAME

1	CD	QTY
tbsp	NN	UNIT
lemon	NN	NAME
juice	NN	NAME

1	CD	QTY
tsp	NN	UNIT
ground	NN	COM
cumin	NN	NAME

1	CD	QTY
tbsp	JJ	UNIT
extra	JJ	NAME
virgin	NN	NAME
olive	JJ	NAME
oil	NN	NAME

150	CD	QTY
g	NN	UNIT
curd	NN	NAME

50	CD	QTY
g	JJ	UNIT
black	JJ	NAME
olives	NNS	NAME
,	,	COM
roughly	RB	COM
chopped	VBD	COM

salt	NN	NAME
and	CC	COM
pepper	NN	NAME
to	TO	COM
taste	VB	COM

to	TO	COM
serve	VB	COM

3	CD	QTY
turai	NN	NAME
,	,	COM
chopped	VBD	COM
into	IN	COM
coins	NNS	COM

3	CD	QTY
carrot	NN	NAME
or	CC	COM
celery	NN	NAME
sticks	NNS	UNIT

½	NN	QTY
cauliflower	NN	NAME
,	,	COM
broken	VBN	COM
into	IN	COM
large	JJ	UNIT
florets	NNS	UNIT

8	CD	QTY
pita	JJ	NAME
breads	NNS	NAME

to	TO	COM
garnish	VB	COM

¼	NN	QTY
tsp	NN	UNIT
red	JJ	NAME
degi	NN	NAME
mirch	NN	NAME
powder	NN	NAME
or	CC	COM
paprika	NN	COM
,	,	COM
optional	JJ	COM

4	CD	QTY
black	JJ	NAME
olives	NNS	NAME
,	,	COM
halved	VBD	COM

1	CD	QTY
tablespoon	NN	UNIT
vegetable	JJ	NAME
oil	NN	NAME

8	CD	QTY
baby	NN	NAME
onions	NNS	NAME
,	,	COM
chopped	VBD	COM

6	CD	QTY
cloves	NNS	UNIT
garlic	JJ	NAME
,	,	COM
crushed	VBD	COM

1/2	CD	QTY
teaspoon	NN	UNIT
red	VBD	NAME
dried	VBN	COM
crushed	JJ	COM
chillies	NNS	NAME

1/2	CD	QTY
teaspoon	NN	UNIT
turmeric	NN	NAME

1.4l	CD	QTY
water	NN	NAME

6	CD	QTY
stalks	NNS	UNIT
lemon	JJ	NAME
grass	NN	NAME
,	,	COM
ground	NN	COM

4	CD	QTY
tablespoons	NNS	UNIT
tamarind	IN	NAME
juice	NN	NAME

salt	NN	NAME
to	TO	COM
taste	VB	COM

900g	CD	QTY
fish	JJ	NAME
fillets	NNS	NAME
,	,	COM
cut	VBD	COM
into	IN	COM
1	CD	COM
inch	NN	COM
pieces	NNS	COM

1	CD	QTY
banana	NN	NAME
or	CC	COM
